ItemID,PROD_CD,UnitPerCase,CaseWeight,UnitWeight,CaseDimensionL,CaseDimensionW,CaseDimensionH
BL5001,BL5001,120,27,0.23,19.5,14,14.75
BL5002,BL5002,100,16,0.16,12,12,12.5
BR5005,BR5005/BU,200,37,0.19,0,0,0
BR5005,BR5005/W,200,37,0.19,0,0,0
CH1006,CH1006,50,29,0.58,0,0,0
CK800,CK800/B,16,28,1.75,0,0,0
CK801,CK801/W,0,0,0,0,0,0
CK802,CK802/B,0,0,0,0,0,0
CK802,CK802/W,0,0,0,0,0,0
CK803,CK803/B,0,0,0,0,0,0
CK803,CK803/W,0,0,0,0,0,0
CK804,CK804,0,0,0,0,0,0
CK805,CK805,0,0,0,0,0,0
CK806,CK806,40,20,0.5,11,21,10
CK806,CK806/S,20,22,1.1,11,11,10
CK807,CK807,100,18,0.18,0,0,0
CK808,CK808,0,0,0,0,0,0
CK809,CK809,1,0,0,0,0,0
CK810,CK810A,10,28,2.8,21,14,14
CK810,CK810H,10,28,2.8,21,14,14
CK810,CK811/B,5,20,4,18,17,17
CK811,CK811/G,0,0,0,0,0,0
CK811,CK811/R,5,20,4,18,17,17
CK812,CK812/B,10,24,2.4,21,13,13
CK812,CK812/G,10,24,2.4,21,13,13
CK813,CK813,0,0,0,0,0,0
CK813,CK813/S,10,28,2.8,21,15,15
CK813,CK813/T,10,28,2.8,21,15,15
CK815,CK815/B,120,42,0.35,20,14,17
CK815,CK815/S,120,42,0.35,20,14,17
CK816,CK816/B,100,25,0.25,18,15,10
CK816,CK816/G,100,25,0.25,18,15,10
CK817,CK817,100,30,0.3,20,10,10
CK818,CK818,40,31,0.8,14,19,15
CK819,CK819/B,20,28,1.4,26,14,19
CK819,CK819/S,20,28,1.4,26,14,19
CK819,CK819/W,20,28,1.4,26,14,19
CK820,CK820,5,20,4,19,16,15
CK821,CK821,10,24,2.4,24,14,14
CK833,CK822,4,30,7.5,27,25,10
CK823,CK823,20,14,0.7,19,13,14
CK824,CK824,40,43,1.08,24,14.5,13.5
CK825,CK825,100,39,0.4,0,0,0
CK826,CK826,40,33,0.83,23,20,11
CK827,CK827,100,45,0.5,0,0,0
CK828,CK828,100,36,0.4,0,0,0
CK829,CK829,30,17,0.6,0,0,0
CK830,CK830,50,37,0.74,0,0,0
CK8301,CK8301,20,21,1.05,0,0,0
CK8302,CK8302,20,18,0.9,0,0,0
CK8303,CK8303,20,20,1,0,0,0
CK831,CK831,10,23,2.3,23,15,15
CK832,CK832,10,23,2.3,23,15,15
CK834,CK833,5,10,2,17,13,13
CK834,CK834,5,10,2,17,13,13
CK835,CK835,5,15,3,17,16,15
CK836,CK836,5,15,3,17,16,15
CK8401,CK8401/B,6,20,3.5,18.5,12.5,12.5
CK8402,CK8401/G,6,20,3.5,18.5,12.5,12.5
CK8403,CK8401/R,6,20,3.5,18.5,12.5,12.5
CK8402,CK8402/B,12,30,2.2,20,19.5,17
CK8403,CK8402/G,12,30,2.2,20,19.5,17
CK8404,CK8402/P,12,30,2.2,20,19.5,17
CK8405,CK8402/PK,12,30,2.2,20,19.5,17
CK8406,CK8402/R,12,30,2.2,20,19.5,17
